0,92,67
1,91,66
2,90,66
3,89,65
4,88,66
5,88,65
6,88,65
7,87,66
8,87,66
9,88,64
10,90,65
11,89,66
12,87,64
13,88,63
14,87,62
15,87,63
16,86,61
17,86,61
18,87,60
19,87,65
20,87,65
21,88,62
22,87,64
23,89,61
24,89,63
25,90,60
26,92,63
27,91,62
28,93,59
29,94,60
30,94,60
31,93,60
32,95,59
33,96,59
34,95,58
35,96,57
36,97,56
37,96,57
38,97,60
39,95,58
40,94,59
41,92,61
42,93,61
43,89,60
44,88,64
45,86,66
46,83,66
47,82,66
48,80,64
49,78,66
50,77,68
51,75,68
52,74,69
53,71,72
54,70,73
55,70,71
56,71,71
57,67,72
58,65,73
59,62,74
60,64,72
61,62,74
62,64,73
63,63,74
64,65,73
65,64,72
66,63,72
67,64,74
68,64,73
69,65,73
70,66,72
71,65,72
72,64,71
73,63,69
74,64,66
75,64,68
76,66,65
77,68,65
78,66,65
79,68,63
80,69,61
81,69,60
82,70,61
83,70,59
84,74,59
85,77,58
86,80,57
87,81,54
88,83,54
89,87,56
90,92,55
91,97,56
92,104,60
93,108,61
94,109,62
95,109,63
96,110,63
97,110,63
98,109,63
99,109,62
100,107,61
101,105,60
102,105,61
103,100,59
104,99,59
105,96,62
106,95,61
107,91,60
108,89,62
109,88,59
110,85,60
111,83,59
112,81,58
113,80,56
114,79,57
115,78,56
116,78,55
117,77,57
118,76,58
119,76,56
120,77,53
121,77,55
122,75,54
123,76,57
124,75,57
125,75,57
126,76,56
127,74,55
128,73,57
129,74,57
130,73,58
131,74,56
132,74,56
133,73,56
134,73,56
135,74,55
136,74,57
137,74,57
138,76,57
139,76,57
140,77,57
141,76,56
142,78,55
143,79,54
144,79,55
145,79,54
146,80,54
147,80,55
148,81,56
149,81,56
150,82,54
151,83,54
152,83,54
153,82,52
154,83,52
155,82,53
156,81,53
157,82,52
158,82,52
159,82,54
160,81,54
161,82,54
162,81,54
163,82,55
164,81,55
165,82,55
166,83,58
167,84,61
168,84,60
169,84,60
170,84,58
171,84,61
172,84,63
173,84,64
174,85,66
175,86,66
176,86,66
177,85,65
178,85,66
179,86,67
180,85,66
181,86,65
182,86,66
183,87,63
184,89,64
185,89,65
186,91,67
187,91,68
188,93,71
189,93,72
190,94,70
191,97,72
192,98,73
193,99,74
194,101,74
195,103,78
196,101,76
197,104,76
198,106,77
199,107,79
200,111,80
201,111,79
202,110,79
203,113,83
204,113,83
205,114,80
206,115,81
207,117,81
208,115,78
209,116,77
210,114,76
211,113,74
212,110,71
213,105,70
214,102,69
215,97,67
216,95,66
217,90,65
218,87,63
219,83,62
220,80,64
221,74,64
222,72,63
223,68,64
224,68,63
225,66,62
226,65,61
227,63,63
228,64,63
229,63,63
230,64,62
231,65,63
232,66,62
233,68,62
234,72,62
235,73,66
236,76,67
237,77,64
238,79,66
239,81,67
240,82,65
241,86,67
242,87,69
243,89,69
244,89,68
245,90,69
246,92,71
247,90,71
248,93,70
249,93,71
250,90,70
251,88,68
252,88,67
253,87,67
254,87,67
255,86,65
256,86,66
